ffi_h_code,distance_km,name
0103004,3.4629401312965813,Rio Amazonas
0103004,20.85088488563999,Rio Itaya
0103004,37.442847710082965,Qda Vainilla
0103004,10.826652700679945,Rio Maniti
0103005,3.5250932209362773,Rio Amazonas
0103005,20.89783109428967,Rio Itaya
0103005,37.379620283327895,Qda Vainilla
0103005,10.762625742037377,Rio Maniti
0103006,3.808793992760754,Rio Amazonas
0103006,21.12667610106343,Rio Itaya
0103006,37.09106044712558,Qda Vainilla
0103006,10.474639629611444,Rio Maniti
0103008,4.2698456438255885,Rio Amazonas
0103008,21.515798071500303,Rio Itaya
0103008,36.62298219217762,Qda Vainilla
0103008,10.01261782037211,Rio Maniti
0103009,4.274747160918738,Rio Amazonas
0103009,21.515869721915966,Rio Itaya
0103009,36.61655866643073,Qda Vainilla
0103009,10.004492411116168,Rio Maniti
0103010,4.774279467568968,Rio Amazonas
0103010,21.93629341899969,Rio Itaya
0103010,36.11015833822783,Qda Vainilla
0103010,9.503726399506244,Rio Maniti
0103011,4.827696011387047,Rio Amazonas
0103011,21.968371615370984,Rio Itaya
0103011,36.05235166618501,Qda Vainilla
0103011,9.44075899644081,Rio Maniti
0105014,0.034664300711632866,Rio Amazonas
0105014,40.616572119218304,Rio Itaya
0105014,24.935618548334674,Qda Vainilla
0105014,9.383557996856922,Rio Maniti
0105016,0.03094390893723317,Rio Amazonas
0105016,40.43153302348317,Rio Itaya
0105016,25.150708597095907,Qda Vainilla
0105016,9.525418028743317,Rio Maniti
0105010,0.030393608199574547,Rio Amazonas
0105010,42.1273449806642,Rio Itaya
0105010,23.078941073196187,Qda Vainilla
0105010,8.248863189598454,Rio Maniti
0105011,0.03732846285063341,Rio Amazonas
0105011,43.20126670743539,Rio Itaya
0105011,21.606092466772,Qda Vainilla
0105011,7.464463727581053,Rio Maniti
0105012,0.030811838803485515,Rio Amazonas
0105012,41.197702595089474,Rio Itaya
0105012,24.225593410336295,Qda Vainilla
0105012,8.921546278121117,Rio Maniti
0105013,0.014464245405389082,Rio Amazonas
0105013,41.06024932480456,Rio Itaya
0105013,24.408720660400498,Qda Vainilla
0105013,9.044419961066355,Rio Maniti
0105007,0.014985912063524169,Rio Amazonas
0105007,41.55549719710021,Rio Itaya
0105007,23.79552009569612,Qda Vainilla
0105007,8.662896543178984,Rio Maniti
0105008,0.017333919044922347,Rio Amazonas
0105008,41.58099143446746,Rio Itaya
0105008,23.75973282972815,Qda Vainilla
0105008,8.639413568765372,Rio Maniti
0105009,0.03559291534036301,Rio Amazonas
0105009,42.08478857826017,Rio Itaya
0105009,23.128780253732227,Qda Vainilla
0105009,8.274471685457687,Rio Maniti
0105004,0.020087669411568556,Rio Amazonas
0105004,41.45442849694556,Rio Itaya
0105004,23.91205841183423,Qda Vainilla
0105004,8.729044893965519,Rio Maniti
0105005,0.004758338722741312,Rio Amazonas
0105005,41.465671993898184,Rio Itaya
0105005,23.91667534747447,Qda Vainilla
0105005,8.740903610415764,Rio Maniti
0105006,0.00961005585524221,Rio Amazonas
0105006,41.49837276457603,Rio Itaya
0105006,23.86687866665469,Qda Vainilla
0105006,8.70615559687062,Rio Maniti
0105001,7.99276622027135e-4,Rio Amazonas
0105001,41.32245278730873,Rio Itaya
0105001,24.10635791754762,Qda Vainilla
0105001,8.863451993330699,Rio Maniti
0112013,5.320382743100633,Rio Amazonas
0112013,46.696056684360975,Rio Itaya
0112013,10.871091355129336,Qda Vainilla
0112013,1.3024553854532708,Rio Maniti
0112014,5.328300004856039,Rio Amazonas
0112014,46.69754088040203,Rio Itaya
0112014,10.864415398055868,Qda Vainilla
0112014,1.311941864515035,Rio Maniti
0112015,5.334459995960836,Rio Amazonas
0112015,46.701529214194174,Rio Itaya
0112015,10.85609010767255,Qda Vainilla
0112015,1.3216584530460271,Rio Maniti
0112016,5.341091344076381,Rio Amazonas
0112016,46.70428232264806,Rio Itaya
0112016,10.848837109636664,Qda Vainilla
0112016,1.3308472793479715,Rio Maniti
0112017,5.355733356898882,Rio Amazonas
0112017,46.70698574048209,Rio Itaya
0112017,10.836574687026967,Qda Vainilla
0112017,1.3483559099436673,Rio Maniti
0112018,5.370909122512746,Rio Amazonas
0112018,46.71439850877373,Rio Itaya
0112018,10.818787639978812,Qda Vainilla
0112018,1.3702909726991854,Rio Maniti
0112019,5.377995176848314,Rio Amazonas
0112019,46.7170263158339,Rio Itaya
0112019,10.811413201614632,Qda Vainilla
0112019,1.3798463529308116,Rio Maniti
0112040,4.394205715072906,Rio Amazonas
0112040,46.39424239016781,Rio Itaya
0112040,11.848750652929422,Qda Vainilla
0112040,0.07096075780289693,Rio Maniti
0112041,4.427788631470821,Rio Amazonas
0112041,46.374609219971234,Rio Itaya
0112041,11.846223854544956,Qda Vainilla
0112041,0.08273723149719371,Rio Maniti
0112042,4.45517026462979,Rio Amazonas
0112042,46.35084393692036,Rio Itaya
0112042,11.853385369765748,Qda Vainilla
0112042,0.08610907257338282,Rio Maniti
0112043,4.500207944489223,Rio Amazonas
0112043,46.3261332045994,Rio Itaya
0112043,11.848396240399579,Qda Vainilla
0112043,0.11883086876375562,Rio Maniti
0112045,4.640516064306863,Rio Amazonas
0112045,46.25566793787265,Rio Itaya
0112045,11.826492802005212,Qda Vainilla
0112045,0.205775647336801,Rio Maniti
0112046,5.20637437232393,Rio Amazonas
0112046,46.65176923523532,Rio Itaya
0112046,10.992843728936347,Qda Vainilla
0112046,1.1475988339217744,Rio Maniti
0112030,5.353874708843966,Rio Amazonas
0112030,46.69808345135457,Rio Itaya
0112030,10.847601782865894,Qda Vainilla
0112030,1.3391121902201382,Rio Maniti
0112031,5.361570414306151,Rio Amazonas
0112031,46.702278600329265,Rio Itaya
0112031,10.838094298497463,Qda Vainilla
0112031,1.3505954201578698,Rio Maniti
0112034,5.413862886942283,Rio Amazonas
0112034,46.719680034489436,Rio Itaya
0112034,10.785951089124566,Qda Vainilla
0112034,1.4195083771547,Rio Maniti
0112035,4.318262569296922,Rio Amazonas
0112035,46.44221190028404,Rio Itaya
0112035,11.85068829633014,Qda Vainilla
0112035,0.00790632868290441,Rio Maniti
0112036,4.282118574745902,Rio Amazonas
0112036,46.47103468024366,Rio Itaya
0112036,11.844772909047789,Qda Vainilla
0112036,0.006059469300046537,Rio Maniti
0112037,4.273898100423377,Rio Amazonas
0112037,46.475371968787435,Rio Itaya
0112037,11.846052718671856,Qda Vainilla
0112037,0.0031606308212865104,Rio Maniti
0112038,4.237977791718086,Rio Amazonas
0112038,46.51297265641696,Rio Itaya
0112038,11.829811793480241,Qda Vainilla
0112038,0.004410401994730778,Rio Maniti
0112039,4.353064718915228,Rio Amazonas
0112039,46.41824068866565,Rio Itaya
